ticker,AAPL,ABBV
name,Apple Inc.,AbbVie Inc.
2019/02/05,41.3652,59.0581
2019/02/06,41.3795,58.6060
2019/02/07,40.5958,58.6727
2019/02/08,40.6435,59.0433
2019/02/11,40.4098,59.1174
2019/02/12,40.7580,59.2360
2019/02/13,40.5886,59.8733
2019/02/14,40.7365,59.6732
2019/02/15,40.6459,59.9178
2019/02/19,40.7675,59.6732
2019/02/20,41.0299,59.2804
2019/02/21,40.7985,58.3615
2019/02/22,41.2541,59.3027
2019/02/25,41.5546,59.5027
2019/02/26,41.5784,59.6658
2019/02/27,41.7072,58.8506
2019/02/28,41.2970,58.7246
2019/03/01,41.7311,59.3619
2019/03/04,41.9409,58.8876
2019/03/05,41.8646,58.4800
2019/03/06,41.6237,57.8723
2019/03/07,41.1420,57.9835
2019/03/08,41.2398,57.4944
2019/03/11,42.6684,57.8649
2019/03/12,43.1478,58.3541
2019/03/13,43.3386,58.4949
2019/03/14,43.8204,59.2508
2019/03/15,44.3904,60.2809
2019/03/18,44.8436,59.7695
2019/03/19,44.4882,59.8955
2019/03/20,44.8769,59.6065
2019/03/21,46.5298,60.2068
2019/03/22,45.5662,59.1100
2019/03/25,45.0153,58.9247
2019/03/26,44.5502,59.8511
2019/03/27,44.9509,59.2063
2019/03/28,45.0105,59.2582
2019/03/29,45.3039,59.7251
2019/04/01,45.6115,59.8659
2019/04/02,46.2746,61.5630
2019/04/03,46.5918,61.5704
2019/04/04,46.6729,61.3703
2019/04/05,46.9853,61.8446
2019/04/08,47.7247,62.2374
2019/04/09,47.5816,61.2814
2019/04/10,47.8487,61.4741
2019/04/11,47.4504,60.5996
2019/04/12,47.4313,60.6597
2019/04/15,47.5172,60.8474
2019/04/16,47.5220,60.2316
2019/04/17,48.4473,58.5571
2019/04/18,48.6214,58.2492
2019/04/22,48.7812,58.6847
2019/04/23,49.4848,59.0677
2019/04/24,49.4085,59.0752
2019/04/25,48.9601,59.5783
2019/04/26,48.7264,59.8487
2019/04/29,48.8003,60.2992
2019/04/30,47.8606,59.6159
2019/05/01,50.2099,59.2404
2019/05/02,49.8831,58.9250
2019/05/03,50.5033,59.1052
